,URLs,Team,Names,Position,Ages,Heights,Weights
48,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Keiron-Assiratti,Cardiff-Rugby,Keiron-Assiratti,prop,25,5'10'', 119KG
49,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Rhys-Barratt,Cardiff-Rugby,Rhys-Barratt,prop,20,6'10'', 111KG
50,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Liam-Belcher,Cardiff-Rugby,Liam-Belcher,hooker,26,5'1'', 106KG
51,https://www.unitedrugby.com/clubs/Cardiff-Rugby/James-Botham,Cardiff-Rugby,James-Botham,flanker,24,6'0'', 104KG
52,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Gwilym-Bradley,Cardiff-Rugby,Gwilym-Bradley,flanker,22,6'0'', 104KG
53,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Rhys-Carre,Cardiff-Rugby,Rhys-Carre,prop,24,6'0'', 129KG
54,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Kristian-Dacey,Cardiff-Rugby,Kristian-Dacey,hooker,33,6'0'', 106KG
55,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Efan-Daniel,Cardiff-Rugby,Efan-Daniel,hooker,19,6'0'', 97KG
56,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Seb-Davies,Cardiff-Rugby,Seb-Davies,lock,26,6'1'', 119KG
57,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Will-Davies-King,Cardiff-Rugby,Will-Davies-King,prop,24,6'0'', 126KG
58,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Corey-Domachowski,Cardiff-Rugby,Corey-Domachowski,prop,26,6'0'', 121KG
59,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Taulupe-Faletau,Cardiff-Rugby,Taulupe-Faletau,flanker,31,6'0'', 111KG
60,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Ellis-Jenkins,Cardiff-Rugby,Ellis-Jenkins,flanker,29,6'0'', 105KG
61,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Dillon-Lewis,Cardiff-Rugby,Dillon-Lewis,prop,26,6'0'', 125KG
62,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Shane-Lewis-Hughes,Cardiff-Rugby,Shane-Lewis-Hughes,flanker,25,6'0'', 115KG
63,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Kirby-Myhill,Cardiff-Rugby,Kirby-Myhill,hooker,30,6'0'', 106KG
64,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Josh-Navidi,Cardiff-Rugby,Josh-Navidi,flanker,31,6'0'', 105KG
65,https://www.unitedrugby.com/clubs/Cardiff-Rugby/Joe-Peard,Cardiff-Rugby,Joe-Peard,lock,20,6'1'', 125KG
